d,visits,oor,rate,predicted_do,risk_score,alert
2026-01-02,13,0,0.0,3.2669145801171897,-3.2669145801171897,HIGH
2026-01-03,3,0,0.0,3.2271831823839046,-3.2271831823839046,HIGH
2026-01-04,4,0,0.0,3.2790178584172844,-3.2790178584172844,ELEVATED
2026-01-05,12,1,0.08333333333333333,3.389935252478737,-3.389935252478737,NORMAL
2026-01-06,4,0,0.0,3.290298821214941,-3.290298821214941,ELEVATED
2026-01-07,8,2,0.25,3.275332085804293,-3.275332085804293,HIGH
2026-01-08,2,0,0.0,3.267291801942757,-3.267291801942757,HIGH
2026-01-18,2,0,0.0,3.5197520974810375,-3.5197520974810375,NORMAL
2026-01-19,3,0,0.0,3.3857867361817324,-3.3857867361817324,NORMAL
2026-01-21,7,0,0.0,3.2693464803940344,-3.2693464803940344,HIGH
2026-01-22,3,0,0.0,3.1998564785292625,-3.1998564785292625,HIGH
2026-01-23,3,0,0.0,3.2504771547480877,-3.2504771547480877,HIGH
2026-01-27,7,0,0.0,3.4232719603876114,-3.4232719603876114,NORMAL
2026-02-02,6,0,0.0,3.3499880062859484,-3.3499880062859484,ELEVATED
2026-02-04,10,1,0.1,3.321422416382123,-3.321422416382123,ELEVATED
2026-02-05,11,0,0.0,3.3497320664734267,-3.3497320664734267,ELEVATED
2026-02-06,6,0,0.0,3.5004593606151753,-3.5004593606151753,NORMAL
2026-02-07,4,0,0.0,3.33907287609841,-3.33907287609841,ELEVATED
2026-02-08,3,0,0.0,3.3309186774920843,-3.3309186774920843,ELEVATED
2026-02-09,7,1,0.14285714285714285,3.3070163467036875,-3.3070163467036875,ELEVATED
2026-02-10,7,2,0.2857142857142857,3.294171841987852,-3.294171841987852,ELEVATED
2026-02-11,3,2,0.6666666666666666,3.2843238904555068,-3.2843238904555068,ELEVATED
2026-02-12,1,0,0.0,3.3081401606517007,-3.3081401606517007,ELEVATED
2026-02-13,4,0,0.0,3.400600755325711,-3.400600755325711,NORMAL
2026-02-14,4,0,0.0,3.3823143865871916,-3.3823143865871916,NORMAL
2026-02-17,4,0,0.0,3.2265307622253694,-3.2265307622253694,HIGH
2026-02-18,4,0,0.0,3.2457780952707846,-3.2457780952707846,HIGH
2026-02-19,9,0,0.0,3.368588923029246,-3.368588923029246,NORMAL
2026-02-20,9,1,0.1111111111111111,3.2560942430034756,-3.2560942430034756,HIGH
2026-02-22,1,0,0.0,3.344482829305364,-3.344482829305364,ELEVATED
2026-02-23,7,2,0.2857142857142857,3.3585214993802235,-3.3585214993802235,NORMAL
2026-02-24,3,3,1.0,3.0694453837698368,-3.0694453837698368,HIGH+
2026-02-25,10,4,0.4,3.2339740086231172,-3.2339740086231172,HIGH
2026-02-26,4,0,0.0,3.340945177850687,-3.340945177850687,ELEVATED
2026-02-27,10,0,0.0,3.508934341799668,-3.508934341799668,NORMAL
2026-03-02,7,1,0.14285714285714285,3.5100099871424963,-3.5100099871424963,NORMAL
2026-03-03,5,0,0.0,3.6227843868473797,-3.6227843868473797,NORMAL
2026-03-04,2,0,0.0,3.4090470215239086,-3.4090470215239086,NORMAL
2026-03-05,9,0,0.0,3.413969085653602,-3.413969085653602,NORMAL
2026-03-06,9,1,0.1111111111111111,3.535686319640072,-3.535686319640072,NORMAL
2026-03-08,2,0,0.0,3.3369668105219663,-3.3369668105219663,ELEVATED
2026-03-09,11,6,0.5454545454545454,3.3272023032496687,-3.3272023032496687,ELEVATED
2026-03-10,13,0,0.0,3.295967432214823,-3.295967432214823,ELEVATED
2026-03-11,6,0,0.0,3.4760755727654487,-3.4760755727654487,NORMAL
2026-03-12,8,1,0.125,3.6080753641197547,-3.6080753641197547,NORMAL
2026-03-13,12,0,0.0,3.4878889922293332,-3.4878889922293332,NORMAL
2026-03-14,2,0,0.0,3.3796641526573956,-3.3796641526573956,NORMAL
2026-03-15,1,0,0.0,3.3491664156177956,-3.3491664156177956,ELEVATED
2026-03-16,3,0,0.0,3.34115422288982,-3.34115422288982,ELEVATED
2026-03-17,8,0,0.0,3.224718816472375,-3.224718816472375,HIGH
2026-03-18,3,0,0.0,3.2426054820256973,-3.2426054820256973,HIGH
2026-03-23,8,1,0.125,3.3252912730116875,-3.3252912730116875,ELEVATED
2026-03-24,10,0,0.0,3.347547485757248,-3.347547485757248,ELEVATED
2026-03-25,4,0,0.0,3.457591633360302,-3.457591633360302,NORMAL
2026-03-26,8,0,0.0,3.522539137326811,-3.522539137326811,NORMAL
2026-03-27,6,0,0.0,3.5547667493203465,-3.5547667493203465,NORMAL
2026-03-28,4,0,0.0,3.569019805009974,-3.569019805009974,NORMAL
2026-03-30,12,0,0.0,3.4560951375840254,-3.4560951375840254,NORMAL
2026-03-31,9,2,0.2222222222222222,3.342719527412881,-3.342719527412881,ELEVATED
2026-04-01,4,0,0.0,3.435794676132952,-3.435794676132952,NORMAL
2026-04-07,13,3,0.23076923076923078,3.3131790556522343,-3.3131790556522343,ELEVATED
2026-04-08,12,1,0.08333333333333333,3.4475490132007973,-3.4475490132007973,NORMAL
2026-04-09,10,0,0.0,3.459739040583928,-3.459739040583928,NORMAL
2026-04-10,11,0,0.0,3.5465558545896365,-3.5465558545896365,NORMAL
2026-04-11,7,2,0.2857142857142857,3.676545059159332,-3.676545059159332,NORMAL
2026-04-13,3,0,0.0,3.772583065293805,-3.772583065293805,NORMAL
2026-04-14,9,0,0.0,3.7275231996122633,-3.7275231996122633,NORMAL
2026-04-15,5,0,0.0,3.7501540675087717,-3.7501540675087717,NORMAL
2026-04-16,5,0,0.0,3.6391392223394043,-3.6391392223394043,NORMAL
2026-04-17,5,1,0.2,3.6302749504010445,-3.6302749504010445,NORMAL
2026-04-20,11,5,0.45454545454545453,3.5625529499937185,-3.5625529499937185,NORMAL
2026-04-21,13,0,0.0,3.643070653908319,-3.643070653908319,NORMAL
2026-04-22,9,2,0.2222222222222222,3.5458548603999476,-3.5458548603999476,NORMAL
2026-04-23,5,0,0.0,3.5397178407148693,-3.5397178407148693,NORMAL
2026-04-25,5,0,0.0,3.482109167110661,-3.482109167110661,NORMAL
2026-04-27,12,3,0.25,3.6433450793222324,-3.6433450793222324,NORMAL
2026-04-28,5,0,0.0,3.5246208494729414,-3.5246208494729414,NORMAL
2026-05-01,4,0,0.0,3.650442357857095,-3.650442357857095,NORMAL
2026-05-04,5,0,0.0,3.67718010080893,-3.67718010080893,NORMAL
